forecast_date,lowest_price_per_mwh,highest_price_per_mwh,origin_date,data_block_id
10/18/2021,66.7,67.99,10/17/2021,48
10/19/2021,67.2,67.79,10/18/2021,49
10/20/2021,67.35,67.53,10/19/2021,50
10/21/2021,66.47,67.69,10/20/2021,51
10/22/2021,66.83,67.67,10/21/2021,52
10/23/2021,67.01,68.78,10/22/2021,53
10/24/2021,67.39,67.85,10/23/2021,54
10/25/2021,67,69.11,10/24/2021,55
10/26/2021,67.45,67.94,10/25/2021,56
10/27/2021,65,67.65,10/26/2021,57
10/28/2021,65,67.7,10/27/2021,58
10/29/2021,64,67.46,10/28/2021,59
10/30/2021,63,67.98,10/29/2021,60
10/31/2021,65.01,67.98,10/30/2021,61
11/1/2021,65,90.34,10/31/2021,62
11/2/2021,59,87.9,11/1/2021,63
11/3/2021,59,83.69,11/2/2021,64
11/4/2021,65,77.25,11/3/2021,65
11/5/2021,65.11,79.89,11/4/2021,66
11/6/2021,69.24,72.9,11/5/2021,67
11/7/2021,69.79,74.93,11/6/2021,68
11/8/2021,70.99,87,11/7/2021,69
11/9/2021,69.84,77,11/8/2021,70
11/10/2021,65,75.99,11/9/2021,71
11/11/2021,64,72,11/10/2021,72
11/12/2021,67.92,73,11/11/2021,73
11/13/2021,70.6,72.96,11/12/2021,74
11/14/2021,71.65,73.67,11/13/2021,75
11/15/2021,71.46,77.49,11/14/2021,76
11/16/2021,71.5,88.55,11/15/2021,77
11/17/2021,73,91.7,11/16/2021,78
11/18/2021,85.21,90.99,11/17/2021,79
11/19/2021,78.35,88.7,11/18/2021,80
11/20/2021,80,89,11/19/2021,81
11/21/2021,80,85,11/20/2021,82
11/22/2021,77,87.96,11/21/2021,83
11/23/2021,81,87.4,11/22/2021,84
11/24/2021,82.94,86.9,11/23/2021,85
11/25/2021,82.82,91.3,11/24/2021,86
11/26/2021,82.82,86.46,11/25/2021,87
11/27/2021,85,89.99,11/26/2021,88
11/28/2021,86,89.79,11/27/2021,89
11/29/2021,85,89.99,11/28/2021,90
11/30/2021,87,89.59,11/29/2021,91
12/1/2021,85,87.7,11/30/2021,92
12/2/2021,85.2,93.9,12/1/2021,93
12/3/2021,86,86.85,12/2/2021,94
12/4/2021,86.62,87.69,12/3/2021,95
12/5/2021,86.83,88.59,12/4/2021,96
12/6/2021,85.06,88.41,12/5/2021,97
12/7/2021,85.64,90.4,12/6/2021,98
12/8/2021,85.29,90.35,12/7/2021,99
12/9/2021,86.05,90.46,12/8/2021,100
12/10/2021,87.95,89.46,12/9/2021,101
12/11/2021,86.25,88.4,12/10/2021,102
12/12/2021,86.65,87.5,12/11/2021,103
12/13/2021,85.1,88.2,12/12/2021,104
12/14/2021,87,88.8,12/13/2021,105
12/15/2021,85,90.64,12/14/2021,106
12/16/2021,85.01,89,12/15/2021,107
12/17/2021,85.9,91.95,12/16/2021,108
12/18/2021,85.5,88.89,12/17/2021,109
12/19/2021,86.17,90.4,12/18/2021,110
12/20/2021,88.97,94.4,12/19/2021,111
12/21/2021,89,111.39,12/20/2021,112
12/22/2021,90,113.99,12/21/2021,113
12/23/2021,96,110.92,12/22/2021,114
12/24/2021,96,105,12/23/2021,115
12/25/2021,102.5,103.74,12/24/2021,116
12/26/2021,98,104.5,12/25/2021,117
12/27/2021,96.39,111.4,12/26/2021,118
12/28/2021,90,101.5,12/27/2021,119
12/29/2021,88.01,101.5,12/28/2021,120
12/30/2021,79,94,12/29/2021,121
12/31/2021,80,94,12/30/2021,122
1/1/2022,84.74,104,12/31/2021,123
1/2/2022,82.74,89.99,1/1/2022,124
1/3/2022,75,90,1/2/2022,125
1/4/2022,80,97.79,1/3/2022,126
1/5/2022,89,112.6,1/4/2022,127
1/6/2022,92.74,108,1/5/2022,128
1/7/2022,97,102.94,1/6/2022,129
1/8/2022,94,100,1/7/2022,130
1/9/2022,94,103.99,1/8/2022,131
1/10/2022,94,103.98,1/9/2022,132
1/11/2022,94.5,109,1/10/2022,133
1/12/2022,76.01,96.82,1/11/2022,134
1/13/2022,86.9,90,1/12/2022,135
1/14/2022,78.82,91,1/13/2022,136
1/15/2022,86,88.3,1/14/2022,137
1/16/2022,86,90.4,1/15/2022,138
1/17/2022,81.01,87.74,1/16/2022,139
1/18/2022,81,87.39,1/17/2022,140
1/19/2022,70.01,85.82,1/18/2022,141
1/20/2022,81.74,83.93,1/19/2022,142
1/21/2022,77,84.99,1/20/2022,143
1/22/2022,82.5,86,1/21/2022,144
1/23/2022,82.82,88,1/22/2022,145
1/24/2022,80,86,1/23/2022,146
1/25/2022,88.74,104.99,1/24/2022,147
1/26/2022,84,93.47,1/25/2022,148
1/27/2022,89.5,104.67,1/26/2022,149
1/28/2022,91.82,95.63,1/27/2022,150
1/29/2022,92.54,96.74,1/28/2022,151
1/30/2022,91.75,94,1/29/2022,152
1/31/2022,84,100.99,1/30/2022,153
2/1/2022,74.99,89,1/31/2022,154
2/2/2022,78.01,84.9,2/1/2022,155
2/3/2022,78,84,2/2/2022,156
2/4/2022,79.5,85.7,2/3/2022,157
2/5/2022,80.49,86,2/4/2022,158
2/6/2022,80.8,84,2/5/2022,159
2/7/2022,78.74,84,2/6/2022,160
2/8/2022,80.74,82.5,2/7/2022,161
2/9/2022,75,82,2/8/2022,162
2/10/2022,79.24,82.02,2/9/2022,163
2/11/2022,73.75,81.82,2/10/2022,164
2/12/2022,77.74,80.89,2/11/2022,165
2/13/2022,74.85,79,2/12/2022,166
2/14/2022,73,80,2/13/2022,167
2/15/2022,74.25,80.43,2/14/2022,168
2/16/2022,74.75,80.54,2/15/2022,169
2/17/2022,73.51,77.5,2/16/2022,170
2/18/2022,75.9,77.5,2/17/2022,171
2/19/2022,74.4,80,2/18/2022,172
2/20/2022,71.5,78,2/19/2022,173
2/21/2022,73.4,76,2/20/2022,174
2/22/2022,72.8,77.98,2/21/2022,175
2/23/2022,75.6,85.4,2/22/2022,176
2/24/2022,76.51,93.87,2/23/2022,177
2/25/2022,83,92.36,2/24/2022,178
2/26/2022,83.25,90,2/25/2022,179
2/27/2022,84.01,90,2/26/2022,180
2/28/2022,80,88,2/27/2022,181
3/1/2022,84,87,2/28/2022,182
3/2/2022,84,95.5,3/1/2022,183
3/3/2022,84,114.99,3/2/2022,184
3/4/2022,88,150,3/3/2022,185
3/5/2022,93.74,141,3/4/2022,186
3/6/2022,90,105,3/5/2022,187
3/7/2022,96.5,110,3/6/2022,188
3/8/2022,81.9,118.5,3/7/2022,189
3/9/2022,96.82,145,3/8/2022,190
3/10/2022,106,127.37,3/9/2022,191
3/11/2022,108.74,124.97,3/10/2022,192
3/12/2022,103,113.9,3/11/2022,193
3/13/2022,102.01,110,3/12/2022,194
3/14/2022,92.05,105,3/13/2022,195
3/15/2022,80,97,3/14/2022,196
3/16/2022,82.5,93,3/15/2022,197
3/17/2022,83,95,3/16/2022,198
3/18/2022,77,86,3/17/2022,199
3/19/2022,81.45,85,3/18/2022,200
3/20/2022,82.01,83.9,3/19/2022,201
3/21/2022,82.01,84.18,3/20/2022,202
3/22/2022,82.76,85.18,3/21/2022,203
3/23/2022,82.5,85,3/22/2022,204
3/24/2022,82.1,84.5,3/23/2022,205
3/25/2022,75,85,3/24/2022,206
3/26/2022,83.1,87,3/25/2022,207
3/27/2022,83.02,88.7,3/26/2022,208
3/28/2022,82.6,88,3/27/2022,209
3/29/2022,83.41,89,3/28/2022,210
3/30/2022,85.08,100,3/29/2022,211
3/31/2022,87,101,3/30/2022,212
4/1/2022,122,133.84,3/31/2022,213
4/2/2022,105,133.84,4/1/2022,214
4/3/2022,119.24,130.74,4/2/2022,215
4/4/2022,109,133.84,4/3/2022,216
4/5/2022,114.74,125.52,4/4/2022,217
4/6/2022,107.82,125.5,4/5/2022,218
4/7/2022,113.77,119.99,4/6/2022,219
4/8/2022,115.95,121.74,4/7/2022,220
4/9/2022,105,117,4/8/2022,221
4/10/2022,113.9,123,4/9/2022,222
4/11/2022,103,124,4/10/2022,223
4/12/2022,103.02,118,4/11/2022,224
4/13/2022,103.02,120,4/12/2022,225
4/14/2022,98.01,115.5,4/13/2022,226
4/15/2022,94.78,111,4/14/2022,227
4/16/2022,90.01,106.99,4/15/2022,228
4/17/2022,96.85,105,4/16/2022,229
4/18/2022,93,105,4/17/2022,230
4/19/2022,96.76,119.99,4/18/2022,231
4/20/2022,94.81,107,4/19/2022,232
4/21/2022,93.74,99.75,4/20/2022,233
4/22/2022,99.51,110,4/21/2022,234
4/23/2022,101,107.6,4/22/2022,235
4/24/2022,101,108,4/23/2022,236
4/25/2022,96,107,4/24/2022,237
4/26/2022,99.51,108,4/25/2022,238
4/27/2022,100,116.37,4/26/2022,239
4/28/2022,99.5,114,4/27/2022,240
4/29/2022,96.05,120,4/28/2022,241
4/30/2022,97,107.93,4/29/2022,242
5/1/2022,98.01,106,4/30/2022,243
5/2/2022,98,106,5/1/2022,244
5/3/2022,100,105,5/2/2022,245
5/4/2022,104,108.12,5/3/2022,246
5/5/2022,105,115.12,5/4/2022,247
5/6/2022,102,111.12,5/5/2022,248
5/7/2022,102,108.29,5/6/2022,249
5/8/2022,101.1,108.5,5/7/2022,250
5/9/2022,102,109.2,5/8/2022,251
5/10/2022,102.75,104,5/9/2022,252
5/11/2022,98,104.12,5/10/2022,253
5/12/2022,100,120,5/11/2022,254
5/13/2022,100,106.19,5/12/2022,255
5/14/2022,102,110,5/13/2022,256
5/15/2022,100,110,5/14/2022,257
5/16/2022,101,105,5/15/2022,258
5/17/2022,100.1,108.37,5/16/2022,259
5/18/2022,99.5,107.29,5/17/2022,260
5/19/2022,100.05,158,5/18/2022,261
5/20/2022,100,109.99,5/19/2022,262
5/21/2022,101.5,103.29,5/20/2022,263
5/22/2022,101.5,112,5/21/2022,264
5/23/2022,97,107,5/22/2022,265
5/24/2022,101,104.5,5/23/2022,266
5/25/2022,101.01,103,5/24/2022,267
5/26/2022,102,121.95,5/25/2022,268
5/27/2022,102.01,105,5/26/2022,269
5/28/2022,102.5,108,5/27/2022,270
5/29/2022,103.8,110,5/28/2022,271
5/30/2022,102,108,5/29/2022,272
5/31/2022,100.1,158,5/30/2022,273
6/1/2022,94.01,106,5/31/2022,274
6/2/2022,95,105.98,6/1/2022,275
6/3/2022,92,100.5,6/2/2022,276
6/4/2022,91,100,6/3/2022,277
6/5/2022,94,98.01,6/4/2022,278
6/6/2022,96,98,6/5/2022,279
6/7/2022,96.55,98.1,6/6/2022,280
6/8/2022,93,98.79,6/7/2022,281
6/9/2022,93.74,99.96,6/8/2022,282
6/10/2022,92,99.9,6/9/2022,283
6/11/2022,90,98,6/10/2022,284
6/12/2022,95.5,99,6/11/2022,285
6/13/2022,96.1,157.99,6/12/2022,286
6/14/2022,92,100,6/13/2022,287
6/15/2022,96.5,109,6/14/2022,288
6/16/2022,97,125,6/15/2022,289
6/17/2022,115.01,121,6/16/2022,290
6/18/2022,110,120,6/17/2022,291
6/19/2022,110,114.4,6/18/2022,292
6/20/2022,110.05,125,6/19/2022,293
6/21/2022,112.2,150,6/20/2022,294
6/22/2022,116,200,6/21/2022,295
6/23/2022,124,135,6/22/2022,296
6/24/2022,126.99,135,6/23/2022,297
6/25/2022,128.1,135,6/24/2022,298
6/26/2022,123,135,6/25/2022,299
6/27/2022,122.05,127.74,6/26/2022,300
6/28/2022,124,129.5,6/27/2022,301
6/29/2022,127,145,6/28/2022,302
6/30/2022,127.1,150,6/29/2022,303
7/1/2022,132,155,6/30/2022,304
7/2/2022,146.5,155,7/1/2022,305
7/3/2022,145,151.5,7/2/2022,306
7/4/2022,147,152,7/3/2022,307
7/5/2022,147.98,156.37,7/4/2022,308
7/6/2022,150,157.8,7/5/2022,309
7/7/2022,150.01,175,7/6/2022,310
7/8/2022,156,184,7/7/2022,311
7/9/2022,157,163.8,7/8/2022,312
7/10/2022,159.5,174.6,7/9/2022,313
7/11/2022,160,169,7/10/2022,314
7/12/2022,160.1,171,7/11/2022,315
7/13/2022,161,169.98,7/12/2022,316
7/14/2022,162,175,7/13/2022,317
7/15/2022,157,175,7/14/2022,318
7/16/2022,157,166,7/15/2022,319
7/17/2022,160,172,7/16/2022,320
7/18/2022,160,169,7/17/2022,321
7/19/2022,161.1,168.99,7/18/2022,322
7/20/2022,162.5,171,7/19/2022,323
7/21/2022,158.24,185,7/20/2022,324
7/22/2022,155,175,7/21/2022,325
7/23/2022,159.85,166.75,7/22/2022,326
7/24/2022,159.74,200,7/23/2022,327
7/25/2022,159,185,7/24/2022,328
7/26/2022,159,179,7/25/2022,329
7/27/2022,160,185,7/26/2022,330
7/28/2022,160,205,7/27/2022,331
7/29/2022,167,205,7/28/2022,332
7/30/2022,169,205,7/29/2022,333
7/31/2022,170,190,7/30/2022,334
8/1/2022,179.98,200,7/31/2022,335
8/2/2022,189.98,199,8/1/2022,336
8/3/2022,189.74,201.37,8/2/2022,337
8/4/2022,185,205,8/3/2022,338
8/5/2022,185,198.5,8/4/2022,339
8/6/2022,185,195.99,8/5/2022,340
8/7/2022,180,196.59,8/6/2022,341
8/8/2022,170,197,8/7/2022,342
8/9/2022,184,207,8/8/2022,343
8/10/2022,183,199,8/9/2022,344
8/11/2022,186,204.1,8/10/2022,345
8/12/2022,190,208.99,8/11/2022,346
8/13/2022,185,204.99,8/12/2022,347
8/14/2022,180,198,8/13/2022,348
8/15/2022,188.74,205,8/14/2022,349
8/16/2022,191.82,216,8/15/2022,350
8/17/2022,204.99,280,8/16/2022,351
8/18/2022,220,244.99,8/17/2022,352
8/19/2022,222.22,240,8/18/2022,353
8/20/2022,225,240,8/19/2022,354
8/21/2022,222.22,240,8/20/2022,355
8/22/2022,230,279,8/21/2022,356
8/23/2022,240,285,8/22/2022,357
8/24/2022,240,305,8/23/2022,358
8/25/2022,245,274,8/24/2022,359
8/26/2022,240,290,8/25/2022,360
8/27/2022,240,260,8/26/2022,361
8/28/2022,246.75,254,8/27/2022,362
8/29/2022,245.01,282,8/28/2022,363
8/30/2022,250,295,8/29/2022,364
8/31/2022,234,279,8/30/2022,365
9/1/2022,236,270,8/31/2022,366
9/2/2022,205,245,9/1/2022,367
9/3/2022,200,235.98,9/2/2022,368
9/4/2022,219.99,235.98,9/3/2022,369
9/5/2022,231.37,256.36,9/4/2022,370
9/6/2022,226.37,246.29,9/5/2022,371
9/7/2022,224,232.37,9/6/2022,372
9/8/2022,220,234.58,9/7/2022,373
9/9/2022,208,229.82,9/8/2022,374
9/10/2022,209.99,226.36,9/9/2022,375
9/11/2022,217.5,219,9/10/2022,376
9/12/2022,198,220.1,9/11/2022,377
9/13/2022,198,221.28,9/12/2022,378
9/14/2022,196.82,226.37,9/13/2022,379
9/15/2022,223.37,241.37,9/14/2022,380
9/16/2022,193,231.5,9/15/2022,381
9/17/2022,198,221.28,9/16/2022,382
9/18/2022,195,214,9/17/2022,383
9/19/2022,180,230,9/18/2022,384
9/20/2022,182,203.82,9/19/2022,385
9/21/2022,210,229,9/20/2022,386
9/22/2022,209,232,9/21/2022,387
9/23/2022,184,220,9/22/2022,388
9/24/2022,180,215,9/23/2022,389
9/25/2022,180,219.99,9/24/2022,390
9/26/2022,186,229,9/25/2022,391
9/27/2022,184.74,198,9/26/2022,392
9/28/2022,190,212.01,9/27/2022,393
9/29/2022,185,212,9/28/2022,394
9/30/2022,178,210,9/29/2022,395
10/1/2022,185,201.6,9/30/2022,396
10/2/2022,170,198,10/1/2022,397
10/3/2022,165,193,10/2/2022,398
10/4/2022,155,181.29,10/3/2022,399
10/5/2022,125,170,10/4/2022,400
10/6/2022,110,145,10/5/2022,401
10/7/2022,115,150.29,10/6/2022,402
10/8/2022,130,144.29,10/7/2022,403
10/9/2022,120,144.29,10/8/2022,404
10/10/2022,125,155,10/9/2022,405
10/11/2022,135,170,10/10/2022,406
10/12/2022,142.1,190,10/11/2022,407
10/13/2022,145.02,159,10/12/2022,408
10/14/2022,117,145,10/13/2022,409
10/15/2022,110,135,10/14/2022,410
10/16/2022,109.74,155,10/15/2022,411
10/17/2022,115.5,150,10/16/2022,412
10/18/2022,104,140,10/17/2022,413
10/19/2022,110,195,10/18/2022,414
10/20/2022,108.29,125,10/19/2022,415
10/21/2022,105.53,120,10/20/2022,416
10/22/2022,107,116,10/21/2022,417
10/23/2022,95,119.19,10/22/2022,418
10/24/2022,100.29,125,10/23/2022,419
10/25/2022,76.29,124.98,10/24/2022,420
10/26/2022,96,117.5,10/25/2022,421
10/27/2022,95,134.78,10/26/2022,422
10/28/2022,90.79,125,10/27/2022,423
10/29/2022,88.29,122,10/28/2022,424
10/30/2022,100,138.85,10/29/2022,425
10/31/2022,101,133,10/30/2022,426
11/1/2022,103.01,133,10/31/2022,427
11/2/2022,97.02,127,11/1/2022,428
11/3/2022,99.29,128,11/2/2022,429
11/4/2022,97,115,11/3/2022,430
11/5/2022,101,120,11/4/2022,431
11/6/2022,103.5,124.99,11/5/2022,432
11/7/2022,101.7,115,11/6/2022,433
11/8/2022,101.7,112,11/7/2022,434
11/9/2022,102,114,11/8/2022,435
11/10/2022,104.29,116,11/9/2022,436
11/11/2022,100,110,11/10/2022,437
11/12/2022,100,108,11/11/2022,438
11/13/2022,97,109,11/12/2022,439
11/14/2022,99,108,11/13/2022,440
11/15/2022,102,128.37,11/14/2022,441
11/16/2022,118.5,125,11/15/2022,442
11/17/2022,108,123.82,11/16/2022,443
11/18/2022,108,119.99,11/17/2022,444
11/19/2022,109,128,11/18/2022,445
11/20/2022,109,128,11/19/2022,446
11/21/2022,116,131.37,11/20/2022,447
11/22/2022,121.41,130,11/21/2022,448
11/23/2022,121,137.99,11/22/2022,449
11/24/2022,130.5,136.99,11/23/2022,450
11/25/2022,129.74,139,11/24/2022,451
11/26/2022,128,139.34,11/25/2022,452
11/27/2022,128,135.49,11/26/2022,453
11/28/2022,128,138,11/27/2022,454
11/29/2022,102.5,150,11/28/2022,455
11/30/2022,102.5,153.99,11/29/2022,456
12/1/2022,133,160,11/30/2022,457
12/2/2022,133,157.9,12/1/2022,458
12/3/2022,130,146.97,12/2/2022,459
12/4/2022,131,145.98,12/3/2022,460
12/5/2022,127.41,146.99,12/4/2022,461
12/6/2022,130,145.9,12/5/2022,462
12/7/2022,130.01,145,12/6/2022,463
12/8/2022,139.9,157,12/7/2022,464
12/9/2022,140.74,160,12/8/2022,465
12/10/2022,144.99,158,12/9/2022,466
12/11/2022,140,160,12/10/2022,467
12/12/2022,139,157,12/11/2022,468
12/13/2022,131.01,157,12/12/2022,469
12/14/2022,143,156.2,12/13/2022,470
12/15/2022,138,155,12/14/2022,471
12/16/2022,136.33,152.94,12/15/2022,472
12/17/2022,112.83,148,12/16/2022,473
12/18/2022,112,135,12/17/2022,474
12/19/2022,109,121.36,12/18/2022,475
12/20/2022,105,114,12/19/2022,476
12/21/2022,102,121.27,12/20/2022,477
12/22/2022,96,108.01,12/21/2022,478
12/23/2022,88,102,12/22/2022,479
12/24/2022,85,98,12/23/2022,480
12/25/2022,81,91,12/24/2022,481
12/26/2022,87.01,94,12/25/2022,482
12/27/2022,83.51,110,12/26/2022,483
12/28/2022,77,91.29,12/27/2022,484
12/29/2022,81,100,12/28/2022,485
12/30/2022,75,88,12/29/2022,486
12/31/2022,74,86.2,12/30/2022,487
1/1/2023,69,83,12/31/2022,488
1/2/2023,65,85.15,1/1/2023,489
1/3/2023,75.4,88.74,1/2/2023,490
1/4/2023,69,89.99,1/3/2023,491
1/5/2023,75,85,1/4/2023,492
1/6/2023,71,88.99,1/5/2023,493
1/7/2023,74.01,80.5,1/6/2023,494
1/8/2023,76,82.95,1/7/2023,495
1/9/2023,73,88,1/8/2023,496
1/10/2023,74.97,84.99,1/9/2023,497
1/11/2023,66.25,78.15,1/10/2023,498
1/12/2023,67.01,75,1/11/2023,499
1/13/2023,49,75,1/12/2023,500
1/14/2023,58.75,75,1/13/2023,501
1/15/2023,60,70,1/14/2023,502
1/16/2023,33.74,70,1/15/2023,503
1/17/2023,50.6,65,1/16/2023,504
1/18/2023,51,71.07,1/17/2023,505
1/19/2023,60,74,1/18/2023,506
1/20/2023,55,71,1/19/2023,507
1/21/2023,61,70.15,1/20/2023,508
1/22/2023,63,68.94,1/21/2023,509
1/23/2023,67,71.91,1/22/2023,510
1/24/2023,56,73.89,1/23/2023,511
1/25/2023,55,68.99,1/24/2023,512
1/26/2023,58.5,62.7,1/25/2023,513
1/27/2023,59,64.74,1/26/2023,514
1/28/2023,55,62.24,1/27/2023,515
1/29/2023,58,64.7,1/28/2023,516
1/30/2023,52.75,74.99,1/29/2023,517
1/31/2023,56.75,62,1/30/2023,518
2/1/2023,62,66.49,1/31/2023,519
2/2/2023,64,68,2/1/2023,520
2/3/2023,60,67.39,2/2/2023,521
2/4/2023,61.5,65.1,2/3/2023,522
2/5/2023,62.5,66.92,2/4/2023,523
2/6/2023,59,66,2/5/2023,524
2/7/2023,60,64.5,2/6/2023,525
2/8/2023,55,64.47,2/7/2023,526
2/9/2023,59,62,2/8/2023,527
2/10/2023,59,62,2/9/2023,528
2/11/2023,57,63.2,2/10/2023,529
2/12/2023,54,63.24,2/11/2023,530
2/13/2023,54,62.74,2/12/2023,531
2/14/2023,51.01,62,2/13/2023,532
2/15/2023,53.74,60.99,2/14/2023,533
2/16/2023,54,60.7,2/15/2023,534
2/17/2023,50,60,2/16/2023,535
2/18/2023,46,58,2/17/2023,536
2/19/2023,49,56,2/18/2023,537
2/20/2023,49.5,68.99,2/19/2023,538
2/21/2023,49.01,61.99,2/20/2023,539
2/22/2023,49,64.99,2/21/2023,540
2/23/2023,50.78,61,2/22/2023,541
2/24/2023,53.5,59.99,2/23/2023,542
2/25/2023,51.24,60.14,2/24/2023,543
2/26/2023,46,60,2/25/2023,544
2/27/2023,49,62.96,2/26/2023,545
2/28/2023,48,62.44,2/27/2023,546
3/1/2023,49.03,60.87,2/28/2023,547
3/2/2023,51,53.16,3/1/2023,548
3/3/2023,50.31,54.69,3/2/2023,549
3/4/2023,48.43,52.79,3/3/2023,550
3/5/2023,51,54.45,3/4/2023,551
3/6/2023,48,59.06,3/5/2023,552
3/7/2023,49,57,3/6/2023,553
3/8/2023,49.5,55.55,3/7/2023,554
3/9/2023,47.74,52.5,3/8/2023,555
3/10/2023,49.1,52.04,3/9/2023,556
3/11/2023,49,54,3/10/2023,557
3/12/2023,50.2,54.97,3/11/2023,558
3/13/2023,51.5,53.9,3/12/2023,559
3/14/2023,49,53.75,3/13/2023,560
3/15/2023,44.79,53.25,3/14/2023,561
3/16/2023,42,51,3/15/2023,562
3/17/2023,44.08,50,3/16/2023,563
3/18/2023,45,49,3/17/2023,564
3/19/2023,44.74,49,3/18/2023,565
3/20/2023,42.25,47.4,3/19/2023,566
3/21/2023,42,48,3/20/2023,567
3/22/2023,42,48.64,3/21/2023,568
3/23/2023,43.16,49,3/22/2023,569
3/24/2023,43.1,46.99,3/23/2023,570
3/25/2023,43.66,45,3/24/2023,571
3/26/2023,44.49,60,3/25/2023,572
3/27/2023,43,48.5,3/26/2023,573
3/28/2023,45,47,3/27/2023,574
3/29/2023,46.1,51.99,3/28/2023,575
3/30/2023,46.34,51.88,3/29/2023,576
3/31/2023,46.16,54.99,3/30/2023,577
4/1/2023,48.8,60,3/31/2023,578
4/2/2023,52.5,57.99,4/1/2023,579
4/3/2023,50,59.99,4/2/2023,580
4/4/2023,53.45,57.99,4/3/2023,581
4/5/2023,50,55.47,4/4/2023,582
4/6/2023,49.8,54.5,4/5/2023,583
4/7/2023,48.5,51.66,4/6/2023,584
4/8/2023,46,50.8,4/7/2023,585
4/9/2023,48,53.63,4/8/2023,586
4/10/2023,48.2,50.43,4/9/2023,587
4/11/2023,42.25,51.99,4/10/2023,588
4/12/2023,47,52.73,4/11/2023,589
4/13/2023,46,52.7,4/12/2023,590
4/14/2023,46.2,52.64,4/13/2023,591
4/15/2023,43,49.39,4/14/2023,592
4/16/2023,46.5,60,4/15/2023,593
4/17/2023,47.21,51.49,4/16/2023,594
4/18/2023,47.06,53.7,4/17/2023,595
4/19/2023,46.52,50.99,4/18/2023,596
4/20/2023,47,48.65,4/19/2023,597
4/21/2023,45,48.77,4/20/2023,598
4/22/2023,44,48.4,4/21/2023,599
4/23/2023,45.5,47.99,4/22/2023,600
4/24/2023,46.4,50,4/23/2023,601
4/25/2023,46.5,48,4/24/2023,602
4/26/2023,44.01,47.45,4/25/2023,603
4/27/2023,45,51.99,4/26/2023,604
4/28/2023,46.7,51.5,4/27/2023,605
4/29/2023,46.85,51.96,4/28/2023,606
4/30/2023,47,53,4/29/2023,607
5/1/2023,47.5,51.99,4/30/2023,608
5/2/2023,45.11,52,5/1/2023,609
5/3/2023,41.06,51.5,5/2/2023,610
5/4/2023,45,52.5,5/3/2023,611
5/5/2023,44,49.97,5/4/2023,612
5/6/2023,41,49,5/5/2023,613
5/7/2023,41.1,51,5/6/2023,614
5/8/2023,40,45,5/7/2023,615
5/9/2023,38.01,42,5/8/2023,616
5/10/2023,39.01,44.99,5/9/2023,617
5/11/2023,39.51,42,5/10/2023,618
5/12/2023,38,44.96,5/11/2023,619
5/13/2023,38.6,41.65,5/12/2023,620
5/14/2023,37.51,40.6,5/13/2023,621
5/15/2023,36,40.15,5/14/2023,622
5/16/2023,37,43.97,5/15/2023,623
5/17/2023,37,39.73,5/16/2023,624
5/18/2023,37,40,5/17/2023,625
5/19/2023,35,40.23,5/18/2023,626
5/20/2023,34.81,37,5/19/2023,627
5/21/2023,34.11,37,5/20/2023,628
5/22/2023,34.23,39.98,5/21/2023,629
